fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
91bdc54a,Michael Hefele,Michael Hefele,100.0,1.0,,,
5540c9dc,Ahmed Hegazi,Ahmed El-Sayed Hegazy,86.0,120.0,1.0,,
27d7453c,Tomer Hemed,Tomer Hemed,100.0,43.0,,,
189cee7b,Javier Hernández,Javier Hernández Balcázar,90.0,188.0,,,
875898c7,Wesley Hoedt,Wesley Hoedt,100.0,103.0,,,
9306d5ea,Jonathan Hogg,Jonathan Hogg,100.0,107.0,,,
15f3ec41,Callum Hudson-Odoi,Callum Hudson-Odoi,100.0,281.0,,,
a0666d3e,Will Hughes,Will Hughes,100.0,337.0,,,
a36d4785,Jordan Hugill,Jordan Hugill,100.0,3.0,,,
f42456eb,Uwe Hünemeier,Uwe Hünemeier,100.0,1.0,,,
3be1a627,Emerson Hyndman,Emerson Hyndman,100.0,2.0,,,
ad1ffcfd,Vicente Iborra,Vicente Iborra,100.0,67.0,,,
67d23ab0,Tom Ince,Tom Ince,100.0,82.0,,,
07802f7f,Danny Ings,Danny Ings,100.0,674.0,,,
bcf30f17,Stephen Ireland,Stephen Ireland,100.0,4.0,,,
ca2bc3df,José Izquierdo,José Izquierdo,100.0,133.0,,,
4a537185,Jesé,Jesé Rodríguez Ruiz,90.0,31.0,,,
6265208f,Joselu,Jose Luis Mato Sanmartín,75.0,99.0,1.0,,
0db5d2c8,Mathias Jørgensen,Mathias Jorgensen,94.0,266.0,,,
5bddccc9,Elias Kachunga,Elias Kachunga,100.0,75.0,,,
85b011bb,Orestis Karnezis,Orestis Karnezis,100.0,47.0,,,
26679cdf,Beram Kayal,Beram Kayal,100.0,61.0,,,
15fd5593,Davy Klaassen,Davy Klaassen,100.0,7.0,,,
6c679c6d,Anthony Knockaert,Anthony Knockaert,100.0,162.0,,,
3935e52e,Sead Kolašinac,Sead Kolasinac,93.0,246.0,,,
1f9a3a04,Terence Kongolo,Terence Kongolo,100.0,92.0,,,
580d52dd,Grzegorz Krychowiak,Grzegorz Krychowiak,100.0,58.0,,,
1931bde9,Rajiv van La Parra,Rajiv van La Parra,100.0,84.0,,,
9dbb75ca,Alexandre Lacazette,Alexandre Lacazette,100.0,641.0,,,
da2b8db3,Freddie Ladapo,Olayinka Fredrick Oladotun Ladapo,86.0,1.0,1.0,,
119b9a8e,Aymeric Laporte,Aymeric Laporte,100.0,534.0,,,
450ab6fc,Jamaal Lascelles,Jamaal Lascelles,100.0,424.0,,,
6eaed4eb,Florian Lejeune,Florian Lejeune,100.0,125.0,,,
2b471f99,Mario Lemina,Mario Lemina,100.0,289.0,,,
f5deef4c,Victor Lindelöf,Victor Lindelöf,100.0,535.0,,,
6cc47ae1,Jürgen Locadia,Jürgen Locadia,100.0,72.0,,,
c5f13182,Joe Lolley,Joe Lolley,100.0,11.0,,,
939bc634,Jonas Lössl,Jonas Lössl,100.0,236.0,,,
c6896eab,Chris Löwe,Chris Löwe,100.0,109.0,,,
0c61c77c,Dodi Lukebakio,Dodi Lukebakio,100.0,1.0,,,
199ff86e,Levi Lumeka,Levi Lumeka,100.0,1.0,,,
f15a50e8,Scott Malone,Scott Malone,100.0,41.0,,,
f520049f,Eliaquim Mangala,Eliaquim Mangala,100.0,22.0,,,
bb5fbd2b,Solly March,Solly March,100.0,522.0,,,
f0021247,João Mário,João Mário Naval Costa Eduardo,90.0,46.0,,,
00963611,Konstantinos Mavropanos,Konstantinos Mavropanos,100.0,46.0,,,
0e6bc38c,Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,100.0,107.0,,,
e76cb9cc,Chancel Mbemba,Chancel Mbemba,100.0,20.0,,,
36c2ca73,Alex McCarthy,Alex McCarthy,100.0,386.0,,,
5271c8f1,Benjamin Mendy,Benjamin Mendy,100.0,219.0,,,
d080ed5e,Mikel Merino,Mikel Merino,100.0,49.0,,,
7c4243d4,Roque Mesa,Roque Mesa,100.0,18.0,,,
3925dbd6,Aleksandar Mitrović,Aleksandar Mitrović,100.0,315.0,,,
47b7e3af,Aaron Mooy,Aaron Mooy,100.0,269.0,,,
129af0db,Álvaro Morata,Álvaro Morata,100.0,168.0,,,
19ba6c6d,Steve Mounié,Steve Mounie,92.0,161.0,,,
2b622f01,Lucas Moura,Lucas Rodrigues Moura da Silva,100.0,426.0,,,
de112b84,Jacob Murphy,Jacob Murphy,100.0,344.0,,,
6c96b263,Jamie Murphy,Jamie Murphy,100.0,6.0,,,
f2f29dda,Glenn Murray,Glenn Murray,100.0,276.0,,,
62a0089e,Charly Musonda Jr.,Charly Musonda,95.0,6.0,,,
7ca2d989,Boaz Myhill,Boaz Myhill,100.0,1.0,,,
960acc0a,Badou Ndiaye,Papa Alioune Ndiaye,86.0,41.0,1.0,,
c5bdb6e3,Reiss Nelson,Reiss Nelson,100.0,96.0,,,
a53649b7,Eddie Nketiah,Eddie Nketiah,100.0,263.0,,,
0cc5f4a5,Lukas Nmecha,Lukas Nmecha,100.0,2.0,,,
caa1a7f0,Michael Obafemi,Michael Obafemi,100.0,65.0,,,
8b6e0db2,Reece Oxford,Reece Oxford,100.0,1.0,,,
453f566a,Kasey Palmer,Kasey Palmer,100.0,4.0,,,
e0bc6fdc,Emerson Palmieri,Emerson Palmieri dos Santos,90.0,182.0,,,
819aa8e7,Ayoze Pérez,Ayoze Pérez,100.0,506.0,,,
4b40d9ca,Nick Pope,Nick Pope,100.0,809.0,,,
ff9fcd4d,Alex Pritchard,Alex Pritchard,100.0,109.0,,,
fdd85f94,Davy Pröpper,Davy Pröpper,100.0,246.0,,,
19b8b0b9,Collin Quaner,Collin Quaner,100.0,46.0,,,
833fb62e,Sandro Ramírez,Sandro Ramírez,100.0,10.0,,,
fa031b34,Richarlison,Richarlison de Andrade,90.0,867.0,,,
7a1f2c08,Jaïro Riedewald,Jairo Riedewald,93.0,130.0,,,
71ef519e,Matt Ritchie,Matt Ritchie,100.0,396.0,,,
24fae784,Connor Roberts,Connor Roberts,100.0,88.0,,,
8b0d6fe9,Liam Rosenior,Liam Rosenior,100.0,3.0,,,
18b896d6,Antonio Rüdiger,Antonio Rüdiger,100.0,537.0,,,
4535e4bb,Mathew Ryan,Mathew Ryan,100.0,422.0,,,
4830e0af,Abdelhamid Sabiri,Abdelhamid Sabiri,100.0,12.0,,,
f3709655,Henri Saivet,Henri Saivet,100.0,8.0,,,
e342ad68,Mohamed Salah,Mohamed Salah,100.0,1733.0,,,
032f894e,Renato Sanches,Renato Sanches,100.0,20.0,,,
da7b447d,Davinson Sánchez,Davinson Sánchez,100.0,413.0,,,
a6e316c1,Ezequiel Schelotto,Ezequiel Schelotto,100.0,29.0,,,
8ae9869d,Christopher Schindler,Christopher Schindler,100.0,178.0,,,
3727dd3c,Jonjo Shelvey,Jonjo Shelvey,100.0,370.0,,,
d6f88a1d,Adrien Silva,Adrien Sebastian Perruchet Silva,100.0,26.0,,,
3eb22ec9,Bernardo Silva,Bernardo Veiga de Carvalho e Silva,100.0,855.0,,,
76fa5f80,Jack Simpson,Jack Simpson,100.0,15.0,,,
e9208654,Tommy Smith,Tommy Smith,100.0,59.0,,,
e77dc3b2,Dominic Solanke,Dominic Solanke,100.0,420.0,,,
8e65a5e5,Julián Speroni,Julian Speroni,93.0,37.0,,,
861e0116,Kostas Stafylidis,Konstantinos Stafylidis,85.0,6.0,1.0,,
653ee42d,Dale Stephens,Dale Stephens,100.0,227.0,,,
7391c2d9,Markus Suttner,Markus Suttner,100.0,38.0,,,
ce9c203e,Lasse Sørensen,Lasse Sorenson,86.0,5.0,1.0,,
e92cd3f7,Alexander Sørloth,Alexander Sørloth,100.0,20.0,,,
