season,fbref_name,fpl_name,fuzzy_score
2016-2017,Geoff Cameron,Geoff Cameron,100.0
2016-2017,George Boyd,George Boyd,100.0
2016-2017,George Friend,George Friend,100.0
2016-2017,Georginio Wijnaldum,Georginio Wijnaldum,100.0
2016-2017,Gerard Deulofeu,Gerard Deulofeu,100.0
2016-2017,Giannelli Imbula,Giannelli Imbula,100.0
2016-2017,Glenn Whelan,Glenn Whelan,100.0
2016-2017,Glen Johnson,Glen Johnson,100.0
2016-2017,Yaya Touré,Gnegneri Yaya Touré,90.0
2016-2017,Granit Xhaka,Granit Xhaka,100.0
2016-2017,Lee Grant,Grant Leadbitter,86.0
2016-2017,Grant Leadbitter,Grant Leadbitter,100.0
2016-2017,,Greg Luer,
2016-2017,,Greg Olley,
2016-2017,,Guillermo Varela,
2016-2017,Gylfi Sigurðsson,Gylfi Sigurdsson,94.0
2016-2017,,Gökhan Inler,
2016-2017,Gökhan Töre,Gökhan Töre,100.0
2016-2017,Harrison Reed,Harrison Reed,100.0
2016-2017,Harry Arter,Harry Arter,100.0
2016-2017,Harry Kane,Harry Kane,100.0
2016-2017,Harry Maguire,Harry Maguire,100.0
2016-2017,Harry Winks,Harry Winks,100.0
2016-2017,Henrikh Mkhitaryan,Henrikh Mkhitaryan,100.0
2016-2017,Son Heung-min,Heung-Min Son,95.0
2016-2017,Heurelho Gomes,Heurelho Gomes,100.0
2016-2017,Hugo Lloris,Hugo Lloris,100.0
2016-2017,Håvard Nordtveit,Håvard Nordtveit,100.0
2016-2017,Héctor Bellerín,Héctor Bellerín,100.0
2016-2017,Ibrahim Afellay,Ibrahim Afellay,100.0
2016-2017,Idrissa Gana Gueye,Idrissa Gueye,95.0
2016-2017,Ikechi Anya,Ikechi Anya,100.0
2016-2017,İlkay Gündoğan,Ilkay Gündogan,93.0
2016-2017,Isaac Success,Isaac Success,100.0
2016-2017,Jack Butland,Jack Butland,100.0
2016-2017,Jack Cork,Jack Cork,100.0
2016-2017,Jack Rodwell,Jack Rodwell,100.0
2016-2017,Jack Stephens,Jack Stephens,100.0
2016-2017,Jack Wilshere,Jack Wilshere,100.0
2016-2017,Jake Livermore,Jake Livermore,100.0
2016-2017,,Jakob Haugaard,
2016-2017,,James Chester,
2016-2017,James Collins,James Collins,100.0
2016-2017,James McArthur,James McArthur,100.0
2016-2017,James McCarthy,James McArthur,86.0
2016-2017,James McArthur,James McCarthy,86.0
2016-2017,James McCarthy,James McCarthy,100.0
2016-2017,James McClean,James McClean,100.0
2016-2017,James Milner,James Milner,100.0
2016-2017,James Morrison,James Morrison,100.0
2016-2017,James Tarkowski,James Tarkowski,100.0
2016-2017,James Tomkins,James Tomkins,100.0
2016-2017,Matty James,James Ward-Prowse,86.0
2016-2017,Joel Ward,James Ward-Prowse,86.0
2016-2017,James Ward-Prowse,James Ward-Prowse,100.0
2016-2017,,James Wilson,
2016-2017,Jamie Vardy,Jamie Vardy,100.0
2016-2017,Jan Kirchhoff,Jan Kirchhoff,100.0
2016-2017,Jan Vertonghen,Jan Vertonghen,100.0
2016-2017,Jarrod Bowen,Jarrod Bowen,100.0
2016-2017,Jason Denayer,Jason Denayer,100.0
2016-2017,Jason Puncheon,Jason Puncheon,100.0
2016-2017,Jay Fulton,Jay Fulton,100.0
2016-2017,Jay Rodriguez,Jay Rodriguez,100.0
2016-2017,Jefferson Montero,Jefferson Montero,100.0
2016-2017,Jeffrey Schlupp,Jeffrey Schlupp,100.0
2016-2017,Jeremain Lens,Jeremain Lens,100.0
2016-2017,Jermain Defoe,Jermain Defoe,100.0
2016-2017,Jerome Sinclair,Jerome Sinclair,100.0
2016-2017,Jesse Lingard,Jesse Lingard,100.0
2016-2017,Jesús Navas,Jesús Navas,100.0
2016-2017,Joel Asoro,Joel Asoro,100.0
2016-2017,Joel Castro Pereira,Joel Asoro,86.0
2016-2017,,Joel Campbell,
2016-2017,Joel Castro Pereira,Joel Matip,86.0
2016-2017,Joël Matip,Joel Matip,90.0
2016-2017,Joel Robles,Joel Robles,100.0
2016-2017,Joel Ward,Joel Ward,100.0
2016-2017,James Ward-Prowse,Joel Ward,86.0
2016-2017,Joe Allen,Joe Allen,100.0
2016-2017,,Joe Hart,
2016-2017,Joe Ledley,Joe Ledley,100.0
2016-2017,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91.0
