fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
Henrikh Mkhitaryan,Henrikh Mkhitaryan,100.0,282.0,,,
Nacho Monreal,Nacho Monreal,100.0,332.0,,,
Jefferson Montero,Jefferson Montero,100.0,18.0,,,
Alberto Moreno,Alberto Moreno,100.0,71.0,,,
Wes Morgan,Wes Morgan,100.0,222.0,,,
James Morrison,James Morrison,100.0,97.0,,,
Victor Moses,Victor Moses,100.0,238.0,,,
Lys Mousset,Lys Mousset,100.0,175.0,,,
Marc Muniesa,Marc Muniesa,100.0,34.0,,,
Ahmed Musa,Ahmed Musa,100.0,39.0,,,
Shkodran Mustafi,Shkodran Mustafi,100.0,325.0,,,
Jordon Mutch,Jordon Mutch,100.0,4.0,,,
Alfred N'Diaye,Alfred N'Diaye,100.0,34.0,,,
Georges-Kévin N'Koudou,Georges-Kévin Nkoudou,98.0,24.0,,,
Luciano Narsingh,Luciano Narsingh,100.0,55.0,,,
Samir Nasri,Samir Nasri,100.0,15.0,,,
Kyle Naughton,Kyle Naughton,100.0,183.0,,,
Jesús Navas,Jesús Navas,100.0,48.0,,,
Wilfred Ndidi,Wilfred Ndidi,100.0,472.0,,,
Álvaro Negredo,Álvaro Negredo,100.0,130.0,,,
Julien Ngoy,Julien Ngoy,100.0,6.0,,,
M'Baye Niang,M'Baye Niang,100.0,49.0,,,
Oumar Niasse,Oumar Niasse,100.0,160.0,,,
Mark Noble,Mark Noble,100.0,405.0,,,
Nolito,Manuel Agudo Durán,100.0,54.0,,,
Kristoffer Nordfeldt,Kristoffer Nordfeldt,100.0,3.0,,,
Håvard Nordtveit,Håvard Nordtveit,100.0,39.0,,,
Emilio Nsue,Emilio Nsue Lopez,90.0,10.0,,,
David Nugent,David Nugent,100.0,4.0,,,
Allan Nyom,Allan-Roméo Nyom,100.0,144.0,,,
Aiden O'Neill,Aiden O'Neill,100.0,3.0,,,
John O'Shea,John O'Shea,100.0,47.0,,,
Pedro Obiang,Pedro Obiang,100.0,152.0,,,
Angelo Ogbonna,Angelo Ogbonna,100.0,452.0,,,
Stefano Okaka,Stefano Okaka,100.0,68.0,,,
Shinji Okazaki,Shinji Okazaki,100.0,164.0,,,
Jonas Olsson,Jonas Olsson,100.0,8.0,,,
Martin Olsson,Martin Olsson,100.0,141.0,,,
Josh Onomah,Josh Onomah,100.0,15.0,,,
Divock Origi,Divock Origi,100.0,251.0,,,
Oscar,Oscar Bobb,90.0,29.0,,,
David Ospina,David Ospina,100.0,21.0,,,
Nicolás Otamendi,Nicolás Otamendi,100.0,408.0,,,
Bryan Oviedo,Bryan Oviedo,100.0,29.0,,,
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100.0,338.0,,,
Mesut Özil,Mesut Özil,100.0,421.0,,,
Costel Pantilimon,Costel Pantilimon,100.0,2.0,,,
Gabriel Paulista,Gabriel Armando de Abreu,100.0,45.0,,,
Dimitri Payet,Dimitri Payet,100.0,81.0,,,
Pedro,Pedro Rodríguez Ledesma,100.0,387.0,,,
Matthew Pennington,Matthew Pennington,100.0,9.0,,,
Dion Pereira,Dion Pereira,100.0,2.0,,,
Roberto Pereyra,Roberto Pereyra,100.0,306.0,,,
Lucas Pérez,Lucas Pérez,100.0,53.0,,,
Matt Phillips,Matt Phillips,100.0,265.0,,,
Jordan Pickford,Jordan Pickford,100.0,1023.0,,,
Jérémy Pied,Jérémy Pied,100.0,12.0,,,
Steven Pienaar,Steven Pienaar,100.0,15.0,,,
Erik Pieters,Erik Pieters,100.0,338.0,,,
Paul Pogba,Paul Pogba,100.0,640.0,,,
Sebastian Prödl,Sebastian Prödl,100.0,111.0,,,
Marc Pugh,Marc Pugh,100.0,96.0,,,
Jason Puncheon,Jason Puncheon,100.0,118.0,,,
Gastón Ramírez,Gastón Ramírez,100.0,59.0,,,
Aaron Ramsey,Aaron Ramsey,100.0,295.0,,,
Darren Randolph,Darren Randolph,100.0,82.0,,,
Àngel Rangel,Angel Rangel,92.0,30.0,,,
Andrea Ranocchia,Andrea Ranocchia,100.0,55.0,,,
Marcus Rashford,Marcus Rashford,100.0,1033.0,,,
Nathan Redmond,Nathan Redmond,100.0,600.0,,,
Harrison Reed,Harrison Reed,100.0,222.0,,,
Winston Reid,Winston Reid,100.0,144.0,,,
Loïc Rémy,Loïc Remy,89.0,6.0,1.0,,
Jordan Rhodes,Jordan Rhodes,100.0,8.0,,,
Declan Rice,Declan Rice,100.0,697.0,,,
Andrew Robertson,Andrew Robertson,100.0,1114.0,,,
Paul Robinson,Paul Robinson,100.0,5.0,,,
Joel Robles,Joel Robles,100.0,96.0,,,
Hal Robson-Kanu,Hal Robson-Kanu,100.0,114.0,,,
Jay Rodriguez,Jay Rodriguez,100.0,436.0,,,
Jack Rodwell,Jack Rodwell,100.0,39.0,,,
Marcos Rojo,Marcos Rojo,100.0,105.0,,,
Sergio Romero,Sergio Romero,100.0,30.0,,,
Oriol Romeu,Oriol Romeu Vidal,90.0,396.0,,,
Salomón Rondón,Salomón Rondón,100.0,406.0,,,
Marten de Roon,Marten de Roon,100.0,91.0,,,
Wayne Rooney,Wayne Rooney,100.0,189.0,,,
Danny Rose,Danny Rose,100.0,248.0,,,
Wayne Routledge,Wayne Routledge,100.0,91.0,,,
Bacary Sagna,Bacary Sagna,100.0,55.0,,,
Diafra Sakho,Diafra Sakho,100.0,36.0,,,
Mamadou Sakho,Mamadou Sakho,100.0,219.0,,,
Bakary Sako,Bakary Sako,100.0,47.0,,,
Alexis Sánchez,Alexis Sánchez,100.0,463.0,,,
Leroy Sané,Leroy Sané,100.0,441.0,,,
Jeffrey Schlupp,Jeffrey Schlupp,100.0,544.0,,,
Kasper Schmeichel,Kasper Schmeichel,100.0,767.0,,,
Morgan Schneiderlin,Morgan Schneiderlin,100.0,135.0,,,
Xherdan Shaqiri,Xherdan Shaqiri,100.0,364.0,,,
Luke Shaw,Luke Shaw,100.0,576.0,,,
Ryan Shawcross,Ryan Shawcross,100.0,161.0,,,
Gylfi Sigurðsson,Gylfi Sigurdsson,94.0,676.0,,,
David Silva,David Silva,100.0,581.0,,,
Danny Simpson,Danny Simpson,100.0,152.0,,,
Josh Sims,Josh Sims,100.0,0.0,,,
Jerome Sinclair,Jerome Sinclair,100.0,10.0,,,
Moussa Sissoko,Moussa Sissoko,100.0,375.0,,,
Islam Slimani,Islam Slimani,100.0,109.0,,,
Chris Smalling,Chris Smalling,100.0,231.0,,,
Adam Smith,Adam Smith,100.0,427.0,,,
Brad Smith,Bradley Smith,87.0,4.0,1.0,,
Robert Snodgrass,Robert Snodgrass,100.0,319.0,,,
Cédric Soares,Cédric Soares,100.0,376.0,,,
Ramadan Sobhi,Ramadan Sobhi,100.0,91.0,,,
Pape Souaré,Pape Souaré,100.0,8.0,,,
Junior Stanislas,Junior Stanislas,100.0,284.0,,,
Maarten Stekelenburg,Maarten Stekelenburg,100.0,68.0,,,
Jack Stephens,Jack Stephens,100.0,338.0,,,
Raheem Sterling,Raheem Sterling,100.0,1342.0,,,
Kevin Stewart,Kevin Stewart,100.0,4.0,,,
John Stones,John Stones,100.0,590.0,,,
Cristhian Stuani,Cristhian Stuani,100.0,54.0,,,
Daniel Sturridge,Daniel Sturridge,100.0,120.0,,,
Isaac Success,Isaac Success,100.0,28.0,,,
Ki Sung-yueng,Sung-yueng Ki,95.0,156.0,,,
Andrew Surman,Andrew Surman,100.0,168.0,,,
Dušan Tadić,Dusan Tadic,82.0,230.0,1.0,,
Matt Targett,Matt Targett,100.0,406.0,,,
James Tarkowski,James Tarkowski,100.0,770.0,,,
